Method,Image,Entropy,AG,MI,VIF,Qabf,Variance
MGFF,1.jpg,7.166399796319301,6.675929449344326,1.906030498694129,0.4962783761360682,0.47514372418350864,35.476573376285714
MGFF,2.jpg,7.226718933126029,7.778238294492791,2.0389273737541203,0.4504361981953595,0.46481650593353097,37.89718825232674
MGFF,3.jpg,6.992248494274433,4.875053401999375,2.1540172217862406,0.5930476899902978,0.5045824579841882,33.49747089032007
MGFF,4.jpg,7.490758186991671,6.938994862897988,2.293328871660183,0.6994965990233262,0.6488845325700925,46.91638754178633
MGFF,5.jpg,7.7009570292387135,5.78640599122896,2.4804224071494154,0.7228309783133917,0.5908878350453765,54.634658368355566
MGFF,6.jpg,7.348389212405026,4.295618772795416,2.6433146942986294,0.6894750612537948,0.5087724139589858,46.51910409976778
MGFF,7.jpg,7.548108824603522,6.963014270979546,3.1169500406756647,0.637785084274965,0.5694994600921585,52.414123374268776
MGFF,8.jpg,7.520253972125822,7.441708276953885,2.5840604163125356,0.6420140717455377,0.5935105230142785,46.69311301034311
MGFF,9.jpg,7.525636157141282,5.498148954795352,2.614677853215758,0.713766508429593,0.6289423833520582,50.07126918800366
MGFF,10.jpg,7.2891796146387655,6.598758616477606,2.718070052402963,0.5363510212760189,0.529801500464228,39.63868087064301
MGFF,11.jpg,7.524701400201039,7.248476979868031,2.764910200989698,0.7333515335266586,0.658386357451304,47.577130825857125
MGFF,12.jpg,7.625725651115384,8.398756135156228,2.6327315106496663,0.6693822398453028,0.5767691947794404,51.468683475047044
MGFF,13.jpg,7.5602338426669515,7.3103816213908805,2.6186345329688816,0.5663505959971038,0.5445108180886978,51.01875607740637
MGFF,14.jpg,7.558002156108129,7.10785375222378,2.6381468156201215,0.6291299316890875,0.5577561895815035,50.10101828595664
MGFF,15.jpg,7.627054653665734,7.3629764360210475,2.650345995412586,0.6332768845877237,0.5740117988801685,53.48422881977287
MGFF,16.jpg,7.506817237229283,5.647105349796348,2.5344439844747466,0.7380523912503445,0.6557318162875164,47.86620134515639
MGFF,17.jpg,7.456376421052818,7.432716881969195,2.746236801928527,0.745596503731946,0.6218936876709243,46.415066232798125
MGFF,18.jpg,7.301616103972393,6.287743066913111,2.4236753659128336,0.5985595196005953,0.5720942164220044,41.263763826157906
MGFF,19.jpg,7.327045450409407,5.143093912402327,2.7215004844933297,0.7113369828299856,0.5330688827858648,43.69525750014545
MGFF,20.jpg,6.974836679540971,4.411255166440381,2.574751006035118,0.7952814456475201,0.5276734822295643,36.178776628842556
PIAFusion,1.jpg,6.973826465077918,4.848734224259169,3.2302407243420603,0.5884906656481239,0.3746405281054942,46.213124750668996
PIAFusion,2.jpg,7.0608568319316785,5.640061031109352,3.4241657535617964,0.6178007345033182,0.3804967406811126,40.56975870914475
PIAFusion,3.jpg,6.631234355534541,3.60722606791397,2.758847245119046,0.5764694951476351,0.3909271847439402,31.821346689184796
PIAFusion,4.jpg,7.244307831875066,5.1056171622791835,3.349388714951459,0.7906646994749805,0.49159235658717604,47.82533072786914
PIAFusion,5.jpg,7.407932949350168,4.344517479258527,3.2497441395512947,0.6449290057338457,0.44732673450286764,52.41307966816346
PIAFusion,6.jpg,6.962321860274271,3.132145926938605,3.529018527894163,0.7199715967443949,0.40831225175402214,47.43619817042366
PIAFusion,7.jpg,7.203981733550792,4.3033679116529635,4.012721103317348,0.6668838379336887,0.35837375297471197,47.63632665950511
PIAFusion,8.jpg,7.276315179849982,4.238637029337278,3.5655821475171656,0.6931219546711975,0.33457245485441717,42.60206324583964
PIAFusion,9.jpg,7.0583954361010015,2.804477871588446,3.4630042327212305,0.6607795617952671,0.2755044957041859,42.943936783745535
PIAFusion,10.jpg,7.094595276075101,4.258148034229383,3.2653959966257418,0.6375188519334858,0.337380150518483,37.98452997030881
PIAFusion,11.jpg,7.370276668477541,4.257254205719119,3.321283411540243,0.6689610301338128,0.35755741467944846,44.51462480401771
PIAFusion,12.jpg,7.250359490695363,4.882715720132239,3.4201866587592704,0.6825820304805008,0.3286439321665241,42.77600883734368
PIAFusion,13.jpg,7.297264877370964,4.868810072134807,3.5342019966516425,0.646298212375233,0.37110333631080344,45.43310168663225
PIAFusion,14.jpg,7.311413731359917,4.54177342757807,3.5267096012997,0.6783329305368351,0.36245684916604964,44.65974794210416
